Datetime,PJME_MW
2002-12-31 01:00:00,26498.0
2002-12-31 02:00:00,25147.0
2002-12-31 03:00:00,24574.0
2002-12-31 04:00:00,24393.0
2002-12-31 05:00:00,24860.0
2002-12-31 06:00:00,26222.0
2002-12-31 07:00:00,28702.0
2002-12-31 08:00:00,30698.0
2002-12-31 09:00:00,31800.0
2002-12-31 10:00:00,32359.0
2002-12-31 11:00:00,32371.0
2002-12-31 12:00:00,31902.0
2002-12-31 13:00:00,31126.0
2002-12-31 14:00:00,30368.0
2002-12-31 15:00:00,29564.0
2002-12-31 16:00:00,29098.0
2002-12-31 17:00:00,30308.0
2002-12-31 18:00:00,34017.0
2002-12-31 19:00:00,34195.0
2002-12-31 20:00:00,32790.0
2002-12-31 21:00:00,31336.0
2002-12-31 22:00:00,29887.0
2002-12-31 23:00:00,28483.0
2003-01-01 00:00:00,27008.0
2002-12-30 01:00:00,27526.0
2002-12-30 02:00:00,26600.0
2002-12-30 03:00:00,26241.0
2002-12-30 04:00:00,26213.0
2002-12-30 05:00:00,26871.0
2002-12-30 06:00:00,28679.0
2002-12-30 07:00:00,31509.0
2002-12-30 08:00:00,33665.0
2002-12-30 09:00:00,34625.0
2002-12-30 10:00:00,34655.0
2002-12-30 11:00:00,34295.0
2002-12-30 12:00:00,33711.0
2002-12-30 13:00:00,33087.0
2002-12-30 14:00:00,32668.0
2002-12-30 15:00:00,32380.0
2002-12-30 16:00:00,32484.0
2002-12-30 17:00:00,34076.0
2002-12-30 18:00:00,36979.0
2002-12-30 19:00:00,37106.0
2002-12-30 20:00:00,36492.0
2002-12-30 21:00:00,35468.0
2002-12-30 22:00:00,33944.0
2002-12-30 23:00:00,31619.0
2002-12-31 00:00:00,28765.0
2002-12-29 01:00:00,27084.0
2002-12-29 02:00:00,25836.0
2002-12-29 03:00:00,25320.0
2002-12-29 04:00:00,25146.0
2002-12-29 05:00:00,25142.0
2002-12-29 06:00:00,25741.0
2002-12-29 07:00:00,26546.0
2002-12-29 08:00:00,27483.0
2002-12-29 09:00:00,28513.0
2002-12-29 10:00:00,29220.0
2002-12-29 11:00:00,29345.0
2002-12-29 12:00:00,29189.0
2002-12-29 13:00:00,29056.0
2002-12-29 14:00:00,28688.0
2002-12-29 15:00:00,28284.0
2002-12-29 16:00:00,28225.0
2002-12-29 17:00:00,29835.0
2002-12-29 18:00:00,33546.0
2002-12-29 19:00:00,34343.0
2002-12-29 20:00:00,34238.0
2002-12-29 21:00:00,33962.0
2002-12-29 22:00:00,33002.0
2002-12-29 23:00:00,31501.0
2002-12-30 00:00:00,29365.0
2002-12-28 01:00:00,29344.0
2002-12-28 02:00:00,28123.0
2002-12-28 03:00:00,27526.0
2002-12-28 04:00:00,27288.0
2002-12-28 05:00:00,27451.0
2002-12-28 06:00:00,28098.0
2002-12-28 07:00:00,29338.0
2002-12-28 08:00:00,30492.0
2002-12-28 09:00:00,31776.0
2002-12-28 10:00:00,32516.0
2002-12-28 11:00:00,32552.0
2002-12-28 12:00:00,32068.0
2002-12-28 13:00:00,31256.0
2002-12-28 14:00:00,30505.0
2002-12-28 15:00:00,29933.0
2002-12-28 16:00:00,30212.0
2002-12-28 17:00:00,31638.0
2002-12-28 18:00:00,34785.0
2002-12-28 19:00:00,34937.0
2002-12-28 20:00:00,34543.0
2002-12-28 21:00:00,33974.0
2002-12-28 22:00:00,33167.0
2002-12-28 23:00:00,31433.0
2002-12-29 00:00:00,28976.0
2002-12-27 01:00:00,28445.0
2002-12-27 02:00:00,27266.0
2002-12-27 03:00:00,26744.0
2002-12-27 04:00:00,26760.0
2002-12-27 05:00:00,27166.0
2002-12-27 06:00:00,28628.0
2002-12-27 07:00:00,31179.0
2002-12-27 08:00:00,33078.0
2002-12-27 09:00:00,34368.0
2002-12-27 10:00:00,35167.0
2002-12-27 11:00:00,35421.0
2002-12-27 12:00:00,34981.0
2002-12-27 13:00:00,34464.0
2002-12-27 14:00:00,34050.0
2002-12-27 15:00:00,33682.0
2002-12-27 16:00:00,33637.0
2002-12-27 17:00:00,35105.0
2002-12-27 18:00:00,38156.0
2002-12-27 19:00:00,38199.0
2002-12-27 20:00:00,37492.0
2002-12-27 21:00:00,36708.0
2002-12-27 22:00:00,35540.0
